Global chat from 2014-04-01 00:00:00 -07:00 to 2014-04-07 23:59:59 -07:00 (GMT-07:00) Pacific Time (US & Canada)	Global chat
31_486eee79-ba89-11e3-a92c-12313b09a242	ARAB_XYGMXSX7RM	بتوفيق لكل قبيله 
31_cb9bcd3b-bca8-11e3-a92c-12313b09a242	ARAB_XYGMXSX7RM	السلام عليكم
29_1687a62f-aff5-11e3-99ce-22000ad02fa9	ARAB_XYGMXSX7RM	السلام عليكم ورحمه الله وبركاته احتاج ان اتعرف على اصدقاء جدد
31_c54d775e-bb2e-11e3-a92c-12313b09a242	ARAB_XYGMXSX7RM	منورين والله 
29_e9017d29-b17f-11e3-99ce-22000ad02fa9	ARAB_XYGMXSX7RM	هلا شباب منو ينضمني معاه ؟؟
29_7811204e-aede-11e3-99ce-22000ad02fa9	ARAB_XYGMXSX7RM	يا هوووووو
29_050daff6-af92-11e3-99ce-22000ad02fa9	ARAB_XYGMXSX7RM	السلام عليكم 
29_5dba5b7a-b0e5-11e3-99ce-22000ad02fa9	ARAB_XYGMXSX7RM	هلا
29_5dba5b7a-b0e5-11e3-99ce-22000ad02fa9	ARAB_XYGMXSX7RM	هلا و الله
31_c54d775e-bb2e-11e3-a92c-12313b09a242	ARAB_XYGMXSX7RM	سلام عليكم 
30_12d2a576-b962-11e3-a92c-12313b09a242	ARAB_XYGMXSX7RM	عليكم السلام 
31_c54d775e-bb2e-11e3-a92c-12313b09a242	ARAB_XYGMXSX7RM	كيفك
31_c54d775e-bb2e-11e3-a92c-12313b09a242	ARAB_XYGMXSX7RM	اريد ادخل ف قبيلة كيف 
31_c54d775e-bb2e-11e3-a92c-12313b09a242	ARAB_XYGMXSX7RM	؟
30_178b3654-b759-11e3-a92c-12313b09a242	ARAB_XYGMXSX7RM	الله الحيهم الشباب
31_f22c9bf1-bc54-11e3-a92c-12313b09a242	ARAB_XYGMXSX7RM	الوووو
31_f22c9bf1-bc54-11e3-a92c-12313b09a242	ARAB_XYGMXSX7RM	هههههههه
29_574453fe-af78-11e3-99ce-22000ad02fa9	ARAB_XYGMXSX7RM	hey guys 
30_331dec93-b9f9-11e3-a92c-12313b09a242	ARAB_XYGMXSX7RM	السلام 
29_eb65b175-b400-11e3-a92c-12313b09a242	ARAB_XYGMXSX7RM	هَـُِhelloـُِلاّ 
30_78fb4c1a-b6a2-11e3-a92c-12313b09a242	ARAB_XYGMXSX7RM	هلا شباب
31_dec95928-baa4-11e3-a92c-12313b09a242	ARAB_XYGMXSX7RM	مرحبا 
31_dec95928-baa4-11e3-a92c-12313b09a242	ARAB_XYGMXSX7RM	اشلون اقدر انضم لقبيلة 
30_78fb4c1a-b6a2-11e3-a92c-12313b09a242	ARAB_XYGMXSX7RM	ما ادري
31_dec95928-baa4-11e3-a92c-12313b09a242	ARAB_XYGMXSX7RM	شكرا 
30_9c2e7be5-b90b-11e3-a92c-12313b09a242	ARAB_XYGMXSX7RM	هلا
29_4160baec-afdb-11e3-99ce-22000ad02fa9	ARAB_XYGMXSX7RM	هلا والله بالععيال
30_6656c9e8-b674-11e3-a92c-12313b09a242	ARAB_XYGMXSX7RM	كلان
31_1e7a302e-bc2b-11e3-a92c-12313b09a242	ARAB_XYGMXSX7RM	الرجاء الانضمام الي
