Start Date	End Date	Duration	Clan Id	Clan Name	Clan Symbol	Trophies	Update Date	Member Id	Pearl
2014-11-21-16-00-00-EST	2014-12-05-16-00-00-EST	20160	31_657	أمراء الخليج	13	38123	2014-12-05 16:00:05.0	31_ce70d785-6982-11e4-ad9b-22000a4a0686	1250
2014-11-21-16-00-00-EST	2014-12-05-16-00-00-EST	20160	31_4148	الصمايل	16	31691	2014-12-05 16:00:09.0	31_981b1664-293c-11e4-90c0-22000a4a0686	750
2014-11-21-16-00-00-EST	2014-12-05-16-00-00-EST	20160	31_4148	الصمايل	16	31691	2014-12-05 16:00:09.0	31_fdd089cb-1ef5-11e4-ad8e-22000a4a0686	750
2014-11-21-16-00-00-EST	2014-12-05-16-00-00-EST	20160	31_4148	الصمايل	16	31691	2014-12-05 16:00:09.0	31_b72837aa-1ce8-11e4-ad8e-22000a4a0686	750
2014-11-21-16-00-00-EST	2014-12-05-16-00-00-EST	20160	31_4148	الصمايل	16	31691	2014-12-05 16:00:09.0	31_f3fb0e76-1c8d-11e4-ad8e-22000a4a0686	750
2014-11-21-16-00-00-EST	2014-12-05-16-00-00-EST	20160	31_4148	الصمايل	16	31691	2014-12-05 16:00:09.0	31_e94e9f64-35f5-11e4-90c0-22000a4a0686	750
2014-11-21-16-00-00-EST	2014-12-05-16-00-00-EST	20160	31_4148	الصمايل	16	31691	2014-12-05 16:00:09.0	31_8a201910-2500-11e4-90c0-22000a4a0686	750
2014-11-21-16-00-00-EST	2014-12-05-16-00-00-EST	20160	31_4148	الصمايل	16	31691	2014-12-05 16:00:09.0	31_e5409480-210f-11e4-ad8e-22000a4a0686	750
2014-11-21-16-00-00-EST	2014-12-05-16-00-00-EST	20160	31_4148	الصمايل	16	31691	2014-12-05 16:00:09.0	31_ea05d1c7-1cbd-11e4-ad8e-22000a4a0686	750
2014-11-21-16-00-00-EST	2014-12-05-16-00-00-EST	20160	31_4148	الصمايل	16	31691	2014-12-05 16:00:09.0	31_07a00d35-2082-11e4-ad8e-22000a4a0686	750
2014-11-21-16-00-00-EST	2014-12-05-16-00-00-EST	20160	31_4148	الصمايل	16	31691	2014-12-05 16:00:09.0	31_c80ad1a2-1bc2-11e4-ad8e-22000a4a0686	750
